Company	Products	Model 	Descriptions	ORDERED STOCK
Ahuja	Amplifiers	SSA100	Amplifiers	20
Ahuja	Speakers		Speakers	10
Ahuja	Mic		Mic	10
Ahuja	Mic Stands		Mic Stands	10
Ahuja	Mic Stands Small		Mic Stands Small	10
Ahuja	Tweeters		Tweeters	10
Ahuja	Diaphragms		Diaphragms	10
Ahuja	Mixer		Mixer	10
Ahuja	Mic Base		Mic Base	10
Ahuja	Goose Neck Mic		Goose Neck Mic	10
Ahuja	Crossovers		Crossovers	10
Ahuja	Volume Control		Volume Control	10
Ahuja	Funnel		Funnel	10
Ahuja	Units		Units	10
Ahuja	Speaker Stands		Speaker Stands	10
Audio Plus	Speakers			10
